# mesh name: gammaMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,23062123.60570082,52508376988454.98,29
0,1,0,17659467.38088912,30637163276132.35,34
0,2,0,15424537.82268754,16309627920634.12,37
0,3,0,29041988.56638151,75351961159193.47,46
0,4,0,28910323.86162833,57208372287669.26,37
0,5,0,22000867.53384828,32052613265101.2,36
0,6,0,35413904.62713987,68791254066089.88,43
0,7,0,40447347.67993647,77046915320091.5,45
0,8,0,43111131.95510582,138021326745211.6,60
0,9,0,28589567.00288522,43204286251498.93,40
0,10,0,35941644.40633489,95021916165081.33,47
0,11,0,24798575.34123689,35859720478461.96,36
0,12,0,23341611.94614385,37787215705855.97,40
0,13,0,17546261.99850333,29029965693541.56,32
0,14,0,26340158.2397617,93029090516002.69,37
0,15,0,29230750.06696803,66071947862561.25,49
0,16,0,13056836.41325156,22143473289104.67,31
0,17,0,22722424.84100465,31681783351598.1,43
0,18,0,22002829.84975265,34105936751156,38
0,19,0,30473027.53219176,71822931970387.06,42
0,20,0,17677700.33029586,30389416124068.91,30
0,21,0,18008572.29502026,30513648903374.58,30
0,22,0,34270753.76035417,179440262551405.3,34
0,23,0,25991469.35580443,67786046542960.55,25
0,24,0,27802754.78349216,71622263348697.64,44
0,25,0,38011621.4991439,78715650641546.34,50
0,26,0,39328993.13558358,94031279404454.08,46
0,27,0,17547563.93873069,24925845792826.43,28
0,28,0,49800365.98936678,306625803121695.5,53
0,29,0,26784085.87217319,50887695348798.31,39
0,30,0,44449788.72901759,206854008134973.4,37
0,31,0,35575235.4851206,103399440875628.5,36
0,32,0,34089150.36041917,70953124247838.61,39
0,33,0,18828825.36490295,23388864241785.02,37
0,34,0,24437723.28197086,31657879767444.26,38
0,35,0,57054914.02618599,487440526266737.3,49
0,36,0,28661627.94329775,40214505480839.55,41
0,37,0,16680500.02785072,18271288047314.97,34
0,38,0,28354862.12841494,65844546454224.48,40
0,39,0,30880151.37734576,63727065176945.46,43
0,40,0,31914980.4079724,101439785026516.3,39
0,41,0,13654752.23334316,13612241429930.02,34
0,42,0,25972213.08191401,44917665324135.11,39
0,43,0,29734721.22805471,43573487693141.39,53
0,44,0,22586665.87556542,30241418730552.41,42
0,45,0,34646541.76059861,106357266905583.4,45
0,46,0,24667274.647342,52390235361429.48,46
0,47,0,25890252.23796831,46054981089787.98,38
0,48,0,21274966.98590373,59685393546598.07,41
0,49,0,19267475.52652926,30315916681978.98,34
0,50,0,35767945.17107243,74931746201943.11,48
0,51,0,45467102.85880656,113669091045291.1,54
0,52,0,22863657.13038576,35826222318017.45,41
0,53,0,23983858.34863172,53249677466439.94,38
0,54,0,29181928.50861821,48610049231964.15,50
0,55,0,25646606.69500932,42445759800116.5,42
0,56,0,29019618.23499005,41301566254717.17,49
0,57,0,30029059.65734377,45593471334068.31,46
0,58,0,23582435.28518602,36291540073862.59,42
0,59,0,32540659.22077376,75040430091000.92,43
0,60,0,31039131.09722434,78433759180823.09,38
0,61,0,20701042.83796288,24758692692181.33,42
0,62,0,30320718.7100332,102208925046455.8,35
0,63,0,20285766.08945681,30677087300162.46,29
0,64,0,22343675.60640149,53394073510848.25,32
0,65,0,12054851.13659625,8386378985831.247,41
0,66,0,28232729.27165962,125232365591939.9,35
0,67,0,30949423.35632409,153138083831006.9,40
0,68,0,19891842.05660414,32663926605775.39,37
0,69,0,34091884.95953828,185547458779798.2,45
0,70,0,15580227.38304491,19975481105079.42,35
0,71,0,20153147.17286431,32576761895324.07,31
0,72,0,25662562.8407775,46329735807919.67,33
0,73,0,27217980.22318904,50098960775911.01,38
0,74,0,27219440.80893037,48707949697161.05,41
1,0,0,23193521.59395903,42427310676823.38,32
1,1,0,28858519.27385394,93478942230285.59,39
1,2,0,45915188.51197846,109912299914543.3,53
1,3,0,48342289.60220925,105276419459120.8,54
1,4,0,52774123.65016048,109111878314620.8,66
1,5,0,52978022.72715747,109602358408699.3,62
1,6,0,41873307.56669527,74063168961277.78,67
1,7,0,64924461.19803885,180029875656963.2,76
1,8,0,51190782.53389036,122520314841772.1,68
1,9,0,41291906.54920848,102546491957342,57
1,10,0,41015519.98920668,72795387961721.09,68
1,11,0,42817286.59599323,115879859688122,52
1,12,0,47172252.76906063,129889024062789.3,48
1,13,0,33703699.7535229,59034617961932.27,55
1,14,0,25922039.90450294,31271135526131.46,52
1,15,0,35895371.36596067,74431833285646.28,56
1,16,0,24162759.80134079,32101399015661.74,57
1,17,0,29014103.56238413,45093967301690.47,48
1,18,0,35560304.73135458,59988507918301.38,55
1,19,0,37275347.54438776,73755462879410.56,53
1,20,0,28061518.90984022,38966607502077.59,56
1,21,0,45201228.2569371,82319002219814.92,59
1,22,0,34267513.8968529,60860704580002.23,53
1,23,0,36479423.50809363,74891964734336.67,51
1,24,0,22983304.22896075,31364131420553.68,46
1,25,0,48325500.01856735,140950012835647.6,49
1,26,0,46808707.60585827,133380503697913.8,55
1,27,0,30153371.76684123,42460846178235.09,61
1,28,0,43580923.23747411,105099707029802.6,61
1,29,0,29787489.66417825,44229169260195.14,55
1,30,0,49978156.00384244,132608362531284.4,59
1,31,0,27133133.47843594,42993634191997.62,48
1,32,0,47359295.86304267,101757697649990.2,66
1,33,0,32705513.48048051,48091908828766.92,56
1,34,0,34425656.89682521,57788240965281.23,58
1,35,0,28517007.04437162,54582368857121.5,50
1,36,0,37742307.24269229,72522135735450.25,53
1,37,0,48395105.90420935,100329603813358.8,59
1,38,0,46157835.63137522,84473667034362.55,63
1,39,0,39726370.53400439,101960029520379.7,61
1,40,0,35411794.64371344,46018058982904.67,58
1,41,0,51701255.35910799,384205017055410.5,48
1,42,0,25452553.44037322,34997272333471.34,48
1,43,0,42910514.61645818,84458049837191.72,58
1,44,0,40656957.27366429,83559683790367.3,63
1,45,0,37034906.90755983,96573188149836.62,62
1,46,0,32275121.51051106,37111180628022.54,64
1,47,0,34857282.27978704,64811180044570.5,62
1,48,0,35464884.0552096,60873410252133.69,56
1,49,0,39892126.26123963,75898332665091.25,63
1,50,0,37891654.13202336,67750487140306.48,63
1,51,0,23873858.32649393,27877986203874.89,51
1,52,0,36089796.71851505,70953848967189.8,44
1,53,0,36790485.37618957,65231601826990,56
1,54,0,50814088.89176194,128643168228291.2,47
1,55,0,32989333.54360732,49453958649613.59,56
1,56,0,27354284.66201812,37104305164402.59,47
1,57,0,41108948.83027135,79779865361319.67,67
1,58,0,32793293.12818908,62102099228544.34,50
1,59,0,27349231.33777624,34840609589795.54,50
1,60,0,36547608.49037551,146886005619690.3,42
1,61,0,43546127.48246702,101015237752662.4,64
1,62,0,23372042.37488534,37369841552957.04,48
1,63,0,31655207.70532902,79413588773455.89,40
1,64,0,26324900.20856529,48035001815138.35,42
1,65,0,32820774.56801297,66353688448089.99,47
1,66,0,40789786.51362776,123387701678642.4,48
1,67,0,28575069.55294997,29098824655321.36,59
1,68,0,22292503.35909311,38549873859822.1,42
1,69,0,22465925.05226411,29730252940733.16,44
1,70,0,29337628.16127843,70315807071680.45,44
1,71,0,38496222.51472604,73457477805661.73,51
1,72,0,31374929.21071107,56875032742166.52,52
1,73,0,32464334.96122569,142848343167082.4,42
1,74,0,26151468.17676444,68631224656422.17,30
2,0,0,16621397.47040899,23711450586589.83,39
2,1,0,42615603.20680276,135187279312743.6,44
2,2,0,37554122.95305488,87088490010202.67,49
2,3,0,27745602.54900925,40922616123223.18,53
2,4,0,37780327.05199809,70187896423737.09,63
2,5,0,60849165.64721996,134303878492511.3,65
2,6,0,59329102.49518075,142627906597813,71
2,7,0,45098670.96167557,99867572369531.39,62
2,8,0,31110612.99317756,41883242433755.37,58
2,9,0,52447985.3875733,110947053070142.1,66
2,10,0,56825822.89027648,226523813599809.4,63
2,11,0,53483326.32686375,194996425202713.8,69
2,12,0,46774219.43163141,152303338760681.2,59
2,13,0,31573198.75742149,55388771162259.76,52
2,14,0,41324982.5527494,102809056986303,53
2,15,0,48085061.59470958,115611837432653.2,72
2,16,0,26536819.51733476,44016035968335.98,52
2,17,0,34834151.35170552,57812138605910.5,52
2,18,0,47225522.70386396,109820166266726.6,62
2,19,0,35276502.53603497,68182375993908.16,57
2,20,0,30919344.72557731,42278961042895.05,61
2,21,0,34051627.43673256,54374317737359.27,62
2,22,0,41805878.80839979,106907846987765.1,61
2,23,0,36570643.17116594,59700776362620.34,55
2,24,0,34576765.29587688,78277220989537.39,52
2,25,0,34126869.04879238,58088551060685.98,45
2,26,0,36662433.67614352,72108842943374.11,52
2,27,0,48145175.84064356,158767177261064.3,64
2,28,0,41454757.4540205,80741060856587.31,60
2,29,0,52021471.17240956,161869307671583.8,63
2,30,0,41025303.29048167,81958727846838.67,57
2,31,0,43548542.82096427,71671687174815.67,65
2,32,0,33840578.91969084,67722726356576.52,61
2,33,0,28801280.58061222,32734960692113.68,63
2,34,0,52803983.35267744,103828026305674.7,63
2,35,0,40536148.1058994,99431864052797.28,54
2,36,0,24586059.86782932,34708184652253.78,57
2,37,0,36400479.66291411,63548434195353.89,53
2,38,0,51177988.8235539,96793540894942.44,74
2,39,0,76906719.46633001,368575025054984.4,67
2,40,0,40717245.6546182,50019378142256.55,74
2,41,0,25027010.56037492,46442908475832.13,60
2,42,0,44130667.24203092,98279315677173.84,64
2,43,0,45159054.12316077,124187007140000.2,62
2,44,0,33128773.45954433,44118903437716.91,75
2,45,0,36093131.03150757,61573648485850.97,63
2,46,0,42085160.872859,75733080266390.58,72
2,47,0,41706610.51425644,72522464481888.91,63
2,48,0,38120839.4133178,104200822841117.6,56
2,49,0,32313434.18565446,36341000100143.1,61
2,50,0,45740642.94524962,77223868885767.91,67
2,51,0,37752991.08918115,72131080088881.08,55
2,52,0,39589435.64925169,76950055408653.16,57
2,53,0,44686645.09682888,74569602112850.88,66
2,54,0,26220086.29212549,38336715690028.74,60
2,55,0,40383480.20910383,75517657885965.78,62
2,56,0,29886365.40441239,65262099131176.86,47
2,57,0,44771638.87396286,89607342180210.2,70
2,58,0,45702570.22940831,86550759614883.16,67
2,59,0,34126821.25550115,71003963906247.03,53
2,60,0,37819629.62286841,80828331192042.58,59
2,61,0,27657303.49853125,31413667500506.01,49
2,62,0,23366508.45674187,40842063352676.3,48
2,63,0,21924462.23636904,30693069025169.81,49
2,64,0,21062495.3450325,18337088302320.32,49
2,65,0,39808611.98861892,90014909038309.77,55
2,66,0,32972401.41036288,54349184638323.72,57
2,67,0,28043955.37017459,37431870101111.41,59
2,68,0,49918162.6336319,122638867855720,56
2,69,0,34126936.78757542,97603873120285.72,45
2,70,0,37491889.02261956,62007149249748.53,60
2,71,0,29929445.10440004,50851909464182.93,52
2,72,0,65513256.17666818,343506450652309.8,68
2,73,0,40463112.25897161,81147689785991.95,66
2,74,0,20609640.57442674,27616559119323.13,46
3,0,0,36982792.58780647,170970767030233.7,48
3,1,0,28873410.90928335,42780422113181.84,49
3,2,0,47245801.76442333,126897761721890.3,57
3,3,0,66102602.53894562,489055022462723.1,60
3,4,0,29707552.77318832,58903742857794.73,48
3,5,0,39726105.70759398,69412588419267.09,55
3,6,0,39173462.34803023,70440099615324.94,60
3,7,0,45334516.18453282,126598100847372.8,53
3,8,0,48257119.79016869,104923118159725.1,70
3,9,0,53770180.17256299,103173445671796.5,65
3,10,0,38682501.02232392,75103338118346.08,65
3,11,0,35061507.53742987,82545419331055.44,49
3,12,0,32587133.70306583,52496977120931.12,60
3,13,0,33569285.99059424,82592944419012.72,48
3,14,0,37802958.9695737,66515879873448.73,55
3,15,0,61219694.91944436,149183288439035.5,59
3,16,0,37460729.50564593,52725227371024.21,62
3,17,0,42906558.86926445,75338291034554.33,59
3,18,0,42758716.97160214,102729062528265.6,59
3,19,0,44459000.15173561,111967571855393.3,56
3,20,0,39226939.45992762,81582431808210.92,65
3,21,0,39678469.78198247,146812858740713.8,51
3,22,0,33800318.38241004,56952317804144.48,50
3,23,0,26740927.80091908,46460499986295.21,60
3,24,0,32384989.74103301,48151692629435.22,52
3,25,0,38520271.98068137,87112863334698.22,58
3,26,0,41575128.31397392,276769214304916.3,49
3,27,0,59800164.62423821,156345161765708.5,63
3,28,0,53583800.62941542,108223798937332.7,79
3,29,0,36892658.05030773,78255720410254.06,62
3,30,0,50632067.2269979,256784466955597.8,66
3,31,0,38163808.90118863,68714772903352.34,70
3,32,0,54155733.07345591,140101854569588.8,60
3,33,0,42242347.01461903,113568488865927.5,59
3,34,0,30670626.47153977,36984103996172.5,62
3,35,0,48606557.05164811,217781370623854.1,54
3,36,0,21779515.69133297,24533177234378.86,57
3,37,0,29915491.19087965,45045697051656.62,53
3,38,0,42150642.08743881,86741237903171.11,74
3,39,0,38467655.5047972,55944602657539.67,80
3,40,0,50813293.46619036,106477341933608.1,67
3,41,0,48358641.17736045,82551811560563.2,83
3,42,0,62515609.17837422,158015946043944.2,71
3,43,0,25941012.84235121,26280544829576.04,68
3,44,0,39227358.50778963,91869077694478.11,60
3,45,0,30718364.06414185,65974012535374.11,63
3,46,0,28437976.71217713,37341982820742.97,57
3,47,0,28007896.24700959,32004508648764.26,52
3,48,0,27849865.33371727,31568841161672.97,58
3,49,0,36027317.27890506,49380900468252.24,69
3,50,0,36843248.48361243,55265847630539.52,63
3,51,0,59702841.16527586,168465235900087,67
3,52,0,35702602.2929384,58575085620961.78,62
