# mesh name: gammaMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,48361513.77438985,173640649290211.8,23
0,1,0,79925590.84826942,295834093580922.8,31
0,2,0,101644317.6857228,363019512096684.7,45
0,3,0,89827873.03082307,337503750806672.3,34
0,4,0,67932381.06019445,261460104272783.3,33
0,5,0,64718270.88597138,251467470153049.9,28
0,6,0,86023418.32388456,343119660680160.5,34
0,7,0,66255369.32529265,238625854243860.1,36
0,8,0,59817297.01679027,198293307603512.9,34
0,9,0,88537504.93459658,321029575495740.1,37
0,10,0,88143833.15506096,299426079976038.5,45
0,11,0,83263601.682467,317327757844130.9,35
0,12,0,96515971.5578915,362631958053429.9,41
0,13,0,79387819.56952809,313085344482994,33
0,14,0,55674966.07363109,203959238281391.5,28
0,15,0,77885742.76792561,305456437559690.8,31
0,16,0,66651396.96915317,262903886459074.4,28
0,17,0,82137485.41770861,316538303644391.9,33
0,18,0,89503011.25442116,338537462137515.1,37
0,19,0,91166222.48542225,337348428580716.8,44
0,20,0,49850851.1668983,175100285848004,26
0,21,0,65709737.29984313,243723998037331.1,34
0,22,0,63407564.08420579,242605425862213.1,26
0,23,0,47789676.62639668,168387549673918.7,29
0,24,0,82518935.64405638,337605812542686.8,32
0,25,0,118670082.6112827,463278892691656.8,41
0,26,0,105045756.80418,400546234080169.9,45
0,27,0,57679571.76621033,203107776237436,30
0,28,0,73857391.60823555,283850219259708.6,31
0,29,0,61029725.42303955,237384361268076,25
0,30,0,60939857.31197765,213528032563719.7,27
0,31,0,73967085.49390328,287015160107735.8,31
0,32,0,72715537.78351866,289082715862769.6,29
0,33,0,78791700.28028455,297928623467336.8,34
0,34,0,64588996.91607746,246290908054881.8,31
0,35,0,92673358.72066993,349234515775703.5,41
0,36,0,60515913.1623669,220967041731729.5,27
0,37,0,59904695.19083426,201409997933917.8,37
0,38,0,78976217.05741151,278238528269655.1,35
0,39,0,93681596.3762462,368918344304519.1,36
0,40,0,53159409.51505026,193080902404693.1,29
0,41,0,70738939.46378797,265832475946779.1,30
0,42,0,72742038.77150488,269294483318358.6,34
0,43,0,102278475.9227138,398341336609517.8,40
0,44,0,79951706.18101183,291608350387590.1,40
0,45,0,85693300.20516053,332988538169654.9,37
0,46,0,71562601.3539608,250860851874926.5,33
0,47,0,91942807.91887245,357153909311869.1,36
0,48,0,79744624.03969392,292203346872998.7,32
0,49,0,45538933.08947661,165744525000278.6,24
0,50,0,96859859.77663884,396377891419132,34
0,51,0,94685829.17823564,351786407106093.2,43
0,52,0,54575682.39912712,192707244710715.4,32
0,53,0,70600533.24818228,272543743782255.5,31
0,54,0,94542007.51579447,348271369016263,43
0,55,0,64678982.14145413,236460503151962.4,29
0,56,0,71065027.28627124,255994952824627.5,28
0,57,0,108688132.2200744,431730379113578.1,43
0,58,0,61677352.20986021,234493737851659.3,26
0,59,0,65637023.02938468,250020889289095.9,28
0,60,0,54903809.97345486,194284954686029.9,25
0,61,0,77845475.1889703,296062592154358.6,33
0,62,0,87337711.40386768,324465500616725.2,35
0,63,0,84276163.27277054,336237500752537.1,28
0,64,0,69363050.17692755,270887284908216.3,30
0,65,0,91022330.21526998,356400784162849.2,37
0,66,0,63349211.50056569,232065316169253.5,31
0,67,0,56812547.25118168,206839122378191.5,30
0,68,0,67153982.69161524,228075582939163.5,31
0,69,0,68335982.40832816,250057120397021.3,30
0,70,0,113353250.040627,444030670488568.8,40
0,71,0,42575095.59825603,145557593435366.7,25
0,72,0,62516260.80777103,221020253918952.3,29
