# mesh name: gammaMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,52019708.67318454,212986401265087.1,31
0,1,0,63633467.00290882,255715689901842.6,50
0,2,0,88742568.48158742,611863063342105.9,67
0,3,0,105102588.5953285,542822216173690.3,51
0,4,0,108717175.8060312,702312694565201,59
0,5,0,40827843.4596549,134495765905951.1,57
0,6,0,84560040.76759528,320812879138882.9,61
0,7,0,91299962.25610162,348760130967884.4,70
0,8,0,104036789.0495591,693680767511265.5,75
0,9,0,87292123.27184036,520661115067882.6,54
0,10,0,102109988.2540382,669563934959576.8,64
0,11,0,62520335.74513599,168031230087882.8,63
0,12,0,112069541.6152925,673568145735258.2,66
0,13,0,43893089.64341249,149021886564534.4,47
0,14,0,44897433.81100737,196459442036975.2,40
0,15,0,68621435.13950264,321019412880742.2,63
0,16,0,63678471.77392253,252462941344925.9,54
0,17,0,66846381.00004949,367741465754245.5,45
0,18,0,51082236.39987815,193273470205932.7,44
0,19,0,66699444.31797434,288916374898975.9,47
0,20,0,66237356.32474253,358243037039482.2,48
0,21,0,85963415.52011088,419570191206899.3,47
0,22,0,61793227.5632231,189781666439118.4,49
0,23,0,75893457.43087715,364202046710296.2,49
0,24,0,73684799.6544476,219427914773116.2,53
0,25,0,99199509.60039169,366991628946924.2,63
0,26,0,129908340.9230788,535892632374990.2,72
0,27,0,72987713.6403404,306693168417925.9,67
0,28,0,83069254.60598414,560242919757402.1,71
0,29,0,44697876.4408166,145360970647389.9,48
0,30,0,76404610.77566409,336723260469119.4,68
0,31,0,66842401.68528233,268992202562197.4,62
0,32,0,67673773.91564147,324061672704483.3,61
0,33,0,58376951.89953236,177370804576940,55
0,34,0,42325703.91240313,135460784346444.2,47
0,35,0,84297866.37830989,433100693868390.1,68
0,36,0,79032474.914956,330462994962868.4,57
0,37,0,68347860.30814075,276747719246753.3,54
0,38,0,47911784.32801496,148312852770783.2,45
0,39,0,84095320.09507011,515744762012730.8,45
0,40,0,53527825.5043051,164392153141968.8,51
0,41,0,62270977.53674307,205522083406883.4,54
0,42,0,60393241.97851992,232913012385986.2,43
0,43,0,56036939.68095809,184580066217012.2,53
0,44,0,75398603.63842848,291127475970239.6,63
0,45,0,76956481.27965534,325103585089616.6,58
0,46,0,77176927.40073997,370911919489463.8,61
0,47,0,92797402.2000629,501824009254275.3,66
0,48,0,94518847.5823184,604919479577945.5,56
0,49,0,94030739.8945491,701918905968285.1,52
0,50,0,57845814.10112148,182695604665406.2,51
0,51,0,96845163.30115896,452512209428273.3,67
0,52,0,47665208.28399738,163959571542799.2,57
0,53,0,58445988.10420566,209021898863947.6,54
0,54,0,83586373.27857934,447672057956891.4,63
